"";"Name";"Department";"Institution";"Program";"Title";"Term";"a2";"amount"
"74";"Franks, Greg RG";"Department Systems and Computer Engineering";"Carleton";"RGPIN";"Discovery grants - Individual reverse engineering performance models from trace data";"5";"$20,000.00";20000
"75";"Frize, Monique MY";"Department Systems and Computer Engineering";"Carleton";"RGPGP";"Development of a distributed intelligent decision support system";"5";"$25,000.00";25000
"76";"Frost, Richard RA";"Department Computer Science, School of";"Windsor";"RGPIN";"Executable specifications of natural-language speech applications";"5";"$25,000.00";25000
"77";"Gao, QiGang Q";"Department Computer Science, Faculty of";"Dalhousie";"RGPIN";"Perceptual content description language and interface for supporting visual semantic computing";"5";"$15,000.00";15000
"78";"Gemino, Andrew C";"Department Business Administration, Faculty of";"Simon Fraser";"RGPIN";"User-centered design of requirements engineering techniques";"5";"$20,000.00";20000
"79";"Ghenniwa, Hamada H";"Department Electrical and Computer Engineering";"Western Ontario";"RGPIN";"Software-as-a-service marketplace: agent-oriented auction-based approach and solutions";"5";"$15,000.00";15000
"80";"Goel, Ashvin A";"Department Electrical and Computer Engineering, Edward S. Rogers Sr.";"Toronto";"EQPEQ";"Improving the performance and reliability of solid-state device based storage systems";"1";"$30,000.00";30000
"81";"Greenberg, Saul S";"Department Computer Science";"Calgary";"RGPIN";"Mediating interaction in ubiquitous computing through proximity";"5";"$74,000.00";74000
"82";"Hamarneh, Ghassan G";"Department Computing Science";"Simon Fraser";"RGPIN";"Novel optimization strategies for medical image analysis";"5";"$34,000.00";34000
"83";"Harutyunyan, Hovhannes HA";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"Optimization problems in graphs for message dissemination";"5";"$20,000.00";20000
"84";"Hatala, Marek M";"Department Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Improving quality of user model inputs by opening the model to the users";"3";"$25,000.00";25000
"85";"Heidrich, Wolfgang W";"Department Computer Science";"British Columbia";"RGPIN";"Computational imaging for graphics and vision";"5";"$60,000.00";60000
