"Name";"Deparment";"Institution";"Program";"Title";"Term";"amount"
"Antoniol, Giuliano G";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Textual information driven software quality improvement";"5";29000;29000;2011
"Arazy, Ofer O";"Business, School of";"Alberta";"RGPIN";"Theory-driven design for collaborative information technology";"1";14000;14000;2011
"Ascher, Uri UM";"Computer Science";"British Columbia";"RGPIN";"Numerical simulation of surface reconstruction, inverse problems and differential equations in applications";"5";33000;33000;2011
"Atwood, John (Bill) JW";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Secure and accountable multicast data distribution";"5";29000;29000;2011
"Bacchus, Fahiem FI";"Computer Science";"Toronto";"RGPIN";"Improving the impact and effectiveness of solvers for complete problems";"5";42000;42000;2011
"Baltes, Hansjorg (Jacky) H";"Computer Science";"Manitoba";"RGPIN";"Active balancing and complex motion planning for adult sized humanoid robots";"5";14000;14000;2011
"Basu, Anup A";"Computing Science";"Alberta";"RGPIN";"Perceptually and probabilistically guided multimedia";"5";33000;33000;2011
"Beauchemin, Steven S";"Computer Science";"Western Ontario";"RGPIN";"RoadLab: An investigation of predictive driver behaviour models for road safety";"5";14000;14000;2011
"Bertossi, Leopoldo LE";"Computer Science, School of";"Carleton";"RGPIN";"Contexts as metadata for data management";"5";29000;29000;2011
"Bhattacharya, Binay BK";"Computing Science";"Simon Fraser";"RGPIN";"Design and analysis of efficient algorithms for location-routing problems";"5";24000;24000;2011
"Bodorik, Peter P";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Towards the design of correct, scalable, and interoperable caching algorithms";"5";14000;14000;2011
"Boley, Harold H";"Computer Science, Faculty of";"New Brunswick";"RGPIN";"Metrics-controlled Web rule translation";"5";24000;24000;2011
"Booth, Kellogg KS";"Computer Science";"British Columbia";"RGPIN";"Collaboration technology and multi-user interfaces";"5";42000;42000;2011
"Bouchard-Cote, Alexandre A";"Statistics";"British Columbia";"RGPIN";"Next generation phylogenetic modelling using machine learning";"5";24000;24000;2011
"Boucheneb, Hanifa HB";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Vers l'integration de methodes formelles dans le processus de developpement de systèmes temps reel complexes";"5";24000;24000;2011
"Bouguessa, Mohamed M";"Informatique";"Sherbrooke";"RGPIN";"Knowledge discovery from online social network";"5";20000;20000;2011
"Burkowski, Forbes FJ";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Using distance geometry algorithms to derive molecular conformational ensembles";"5";14000;14000;2011
"Burton-Jones, Andrew AN";"Sauder School of Business";"British Columbia";"RGPIN";"Expanding conceptual models used in information systems analysis with temporal concepts";"1";14000;14000;2011
"Capretz, Miriam AM";"Electrical and Computer Engineering";"Western Ontario";"RGPIN";"Maintenance and evolution of service oriented architecture";"5";20000;20000;2011
"Cercone, Nick NJ";"Computer Science and Engineering";"York";"RGPIN";"Integrated methodologies (machine learning, data analysis, natural language) and their use in health/language applications and assistive technologies for people with disabilities";"5";24000;24000;2011
"Chali, Yllias Y";"Mathematics and Computer Science";"Lethbridge";"RGPIN";"Inferencing and synthesizing information from multiple documents using text summarization and question answering models";"5";20000;20000;2011
"Chan, Christine CW";"Engineering, Faculty of";"Regina";"RGPIN";"Development of a method for ontology-driven knowledge engineering and its application to the greywater reclamation system";"5";20000;20000;2011
"Chen, Liang L";"Computer Science";"Northern British Columbia";"RGPIN";"Theory of electoral college framework-based multi-classifier ensembling and its applications to subjective pattern recognition";"5";14000;14000;2011
"Cobzas, Dana D";"Computing Science";"Alberta";"RGPIN";"A diffusion-based statistical shape model for medical image analysis";"5";14000;14000;2011
"Cohen, Robin R";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Trust and social networking of multiagent peers";"5";20000;20000;2011
"Condon, Anne AE";"Computer Science";"British Columbia";"RGPIN";"Prediction and design of nucleic acid secondary structure and folding pathways: from theory to tools";"5";49000;49000;2011
"Cook, Stephen SA";"Computer Science";"Toronto";"RGPIN";"Computational complexity and logic";"5";96000;96000;2011
"Cormack, Gordon GV";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Evaluation and improvement of search tools for critical information";"5";24000;24000;2011
"Corneil, Derek DG";"Computer Science";"Toronto";"RGPIN";"Algorithmic graph theory";"5";33000;33000;2011
"Costa Sousa, Mario M";"Computer Science";"Calgary";"RGPIN";"Interactive context-aware illustrative visualization";"5";29000;29000;2011
"Csuros, Miklos M";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Bioinformatics for comparative and evolutionary genomics";"5";24000;24000;2011
"Czyzowicz, Jurek J";"Informatique et d'ingenierie";"Quebec en Outaouais";"RGPIN";"Mobile agents algorithms for networks and geometric environments";"5";24000;24000;2011
"Dehne, Frank FK";"Computer Science, School of";"Carleton";"RGPIN";"Auto-tuned parallel algorithms for hybrid multi-core/many-core processor clusters";"5";49000;49000;2011
"Devroye, Luc L";"Computer Science, School of";"McGill";"RGPIN";"Applications of probability theory in the design and analysis of algorithms";"5";85000;85000;2011
"Dimitrov, Vasil VS";"Electrical and Computer Engineering";"Calgary";"RGPIN";"Side channel protection of public key cryptographic systems";"1";20000;20000;2011
"Dssouli, Rachida R";"Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"Dynamic composition of systems and services";"5";20000;20000;2011
"Dujmovic, Vida V";"Computer Science, School of";"Carleton";"RGPIN";"Geometric representation of graphs and graph minors";"5";29000;29000;2011
"Duntsch, Ivo IV";"Computer Science";"Brock";"RGPIN";"Reasoning about perceptual systems";"5";20000;20000;2011
"Eager, Derek DL";"Computer Science";"Saskatchewan";"RGPIN";"The design and performance analysis of internet systems and applications";"5";29000;29000;2011
"Edmonds, Jeff A";"Computer Science and Engineering";"York";"RGPIN";"Multi-processor scheduling and power management";"5";14000;14000;2011
"Egli, Richard RP";"Informatique";"Sherbrooke";"RGPIN";"Meshfree physically-based animation of natural phenomena in computer graphics";"5";20000;20000;2011
"El Boussaidi, Ghizlane G";"Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Software design through model transformation";"5";14000;14000;2011
"El Emam, Khaled KM";"Pediatrics";"Ottawa";"RGPIN";"Metrics and methods for the de-identification of health information";"5";29000;29000;2011
"El-Sakka, Mahmoud MR";"Computer Science";"Western Ontario";"RGPIN";"Model-based image segmentation";"5";24000;24000;2011
"Enright, Wayne WH";"Computer and Mathematical Sciences";"Toronto";"RGPIN";"Robust and reliable software for the investigation of approximate solutions of systems of ordinary differential equations";"5";20000;20000;2011
"Esfandiari, Babak BE";"Systems and Computer Engineering";"Carleton";"RGPIN";"User imitation for multi-purpose robotics";"5";14000;14000;2011
"Evans, William WS";"Computer Science";"British Columbia";"RGPIN";"Impact of information representation on computation";"5";24000;24000;2011
"Ezeife, Christie CI";"Computer Science, School of";"Windsor";"RGPIN";"Mining informative patterns from the Web, object-oriented and multiple data sources";"5";20000;20000;2011
"Feeley, Michael MJ";"Computer Science";"British Columbia";"RGPIN";"System support for distributed, reliable and personal computing";"5";20000;20000;2011
"Ferrie, Frank FP";"Electrical and Computer Engineering";"McGill";"RGPIN";"Interpretation of visual models";"5";20000;20000;2011
"Fevens, Thomas TG";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Computational geometry and applications";"1";14000;14000;2011
"Fisher, Brian BD";"Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Visual analytics models and systems";"1";14000;14000;2011
"Flocchini, Paola P";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Computational issues in systems of mobile entities";"5";33000;33000;2011
"Galinier, Philippe P";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Metaheuristiques pour l'optimisation difficile";"5";20000;20000;2011
"Ganti, Sudhakar SNM";"Computer Science";"Victoria";"RGPIN";"Adaptive traffic management for high-capacity network architectures with smart services";"5";14000;14000;2011
"Gardoni, Mickaël M";"Genie de la production automatisee";"Ecole de technologie superieure";"RGPIN";"Methodes pour un système d'informations informelles dynamique";"5";14000;14000;2011
"Gebali, Fayez F";"Electrical and Computer Engineering";"Victoria";"RGPIN";"Multicore processing: Structured algorithm parallelization techniques & optimized network-on-chip design to connect to cores";"5";33000;33000;2011
"German, Daniel DM";"Computer Science";"Victoria";"RGPIN";"Source code licensing as an essential aspect of modern software development";"5";24000;24000;2011
"Gherbi, Abdelouahed A";"Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Model-based engineering techniques for embedded and real-time software";"5";20000;20000;2011
"Giguère, Philippe P";"Informatique et de genie logiciel";"Laval";"RGPIN";"Improving perception of unknown environments or objects for robotic systems";"5";24000;24000;2011
"Girouard, Audrey A";"Computing, School of";"Queen's";"RGPIN";"Design and evaluation of new input and interaction techniques for flexible display surfaces";"5";20000;20000;2011
"Giroux, Sylvain S";"Informatique";"Sherbrooke";"RGPIN";"Des strategies d'assistance cognitive personnalisees et sensibles au contexte pour les personnes ayant des deficits cognitifs";"5";29000;29000;2011
"Glasgow, Janice JI";"Computing, School of";"Queen's";"RGPIN";"Intelligent systems for the assessment, diagnosis and treatment of stroke patients";"5";24000;24000;2011
"Goswami, Dhrubajyoti DG";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Advancement of parallel systems skeletons";"5";24000;24000;2011
"Grassmann, Winfried WK";"Computer Science";"Saskatchewan";"RGPIN";"Theory and application of Markov modelling";"5";24000;24000;2011
"Green, Mark MW";"Science, Faculty of";"Ontario Institute of Technology";"RGPIN";"Interactive visualization of large scale scientific computations";"5";14000;14000;2011
"Gupta, Arvind A";"Computer Science";"British Columbia";"RGPIN";"Combinatorial algorithms in bioinformatics";"5";24000;24000;2011
"Hadley, Robert RF";"Computing Science";"Simon Fraser";"RGPIN";"Cognitive architecture, neural realism, and consciousness";"5";20000;20000;2011
"Hadzilacos, Vassos V";"Computer Science";"Toronto";"RGPIN";"Synchronisation and fault tolerance in distributed computing";"5";29000;29000;2011
"Halle, Sylvain S";"Informatique-mathematique";"Quebec a Chicoutimi";"RGPIN";"Specification, verification and enforcement of interface contracts with data";"5";20000;20000;2011
"Hamel, Sylvie S";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Algorithmic and combinatorial studies inspired by problems of comparative genomics";"5";20000;20000;2011
"Hancock, Mark MS";"Management Sciences";"Waterloo";"RGPIN";"Ubiquitous virtual tools: Providing ad-hoc multitouch interaction on nearby surfaces";"5";20000;20000;2011
"Hassanein, Khaled KS";"Business, DeGroote School of";"McMaster";"RGPIN";"Interactive decision support and adaptive Web interfaces for enhancing the online experience of older adults";"1";14000;14000;2011
"Hawkey, Kirstie KA";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Designing improved privacy and security interfaces";"5";20000;20000;2011
"Hayward, Ryan RB";"Computing Science";"Alberta";"RGPIN";"Algorithmic discrete mathematics with applications";"5";24000;24000;2011
"Hefeeda, Mohamed M";"Computing Science";"Simon Fraser";"RGPIN";"Mobile 3D multimedia streaming";"5";33000;33000;2011
"Hertzmann, Aaron AP";"Computer Science";"Toronto";"RGPIN";"Modeling human locomotion control";"5";60000;60000;2011
"Hoey, Jesse J";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Machine learning, dense sensing and decision theoretic planning for large-scale assistance systems";"5";29000;29000;2011
"Hoffman, Daniel DM";"Computer Science";"Victoria";"RGPIN";"Automated software testing with context-free grammars and covering arrays";"5";20000;20000;2011
"Holmes, Reid RT";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Understanding dynamic program behaviour";"5";24000;24000;2011
"Holt, Richard RC";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Mining Computing Configurations";"5";29000;29000;2011
"Hutchinson, Norman NC";"Computer Science";"British Columbia";"RGPIN";"The next generation of storage";"5";20000;20000;2011
"Jackson, Kenneth KR";"Computer Science";"Toronto";"RGPIN";"Numerical methods and software for applications in science, engineering and finance";"5";33000;33000;2011
"Jacobson Jr., Michael MJ";"Computer Science";"Calgary";"RGPIN";"Algorithms in number theory and cryptography";"5";33000;33000;2011
"Jagersand, Martin UM";"Computing Science";"Alberta";"RGPIN";"Incremental modeling of geometry and appearance from video";"5";24000;24000;2011
"Jeffrey, David DJ";"Applied Mathematics";"Western Ontario";"RGPIN";"Algorithms for computer algebra applied to industrial modelling";"5";33000;33000;2011
"Jenkin, Michael MRM";"Computer Science and Engineering";"York";"RGPIN";"Perception for mobile agents";"5";29000;29000;2011
"Kabanza, Froduald F";"Informatique";"Sherbrooke";"RGPIN";"Planning and execution of actions for agents in dynamic environments";"5";20000;20000;2011
"Kapron, Bruce BM";"Computer Science";"Victoria";"RGPIN";"Foundational studies in privacy and security";"5";24000;24000;2011
"Kemme, Bettina B";"Computer Science, School of";"McGill";"RGPIN";"Data management in the cloud";"5";29000;29000;2011
"Khabbazian, Majid M";"Applied Computer Science and Administrative Studies";"Winnipeg";"RGPIN";"Developing distributed algorithms for the proximate internet";"5";20000;20000;2011
"King, Valerie V";"Computer Science";"Victoria";"RGPIN";"Algorithms for large scale networks";"5";29000;29000;2011
"Kotsireas, Ilias I";"Physics and Computer Science";"Wilfrid Laurier";"RGPIN";"Novel computational paradigms for combinatorial matrices";"5";14000;14000;2011
"Kranakis, Evangelos E";"Computer Science, School of";"Carleton";"RGPIN";"Algorithmic methods in wireless network computing";"5";33000;33000;2011
"Kunz, Manuela M";"Computing, School of";"Queen's";"RGPIN";"Algorithms and interfaces for improved image-guided surgery";"5";14000;14000;2011
"Kutulakos, Kiriakos KN";"Computer Science";"Toronto";"RGPIN";"Foundations of computational photography and videography";"5";33000;33000;2011
"Kwiatkowska, Bogumila BM";"Computing Science";"Thompson Rivers";"RGPIN";"A knowledge-based framework for the management of imprecision in data";"5";14000;14000;2011
"Labiche, Yvan Y";"Systems and Computer Engineering";"Carleton";"RGPIN";"On integration testing object-oriented software systems";"5";33000;33000;2011
"Langer, Michael IMS";"Computer Science, School of";"McGill";"RGPIN";"Human-assisted computer vision";"5";20000;20000;2011
"Lank, Edward EH";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Facilitating pointing in graphical interfaces via kinematic analysis of user trajectories";"1";15000;15000;2011
"Larose, Benoît B";"Mathematics and Statistics";"Concordia";"RGPIN";"Applications of algebra to the study of fine-grained computational complexity of constraint satisfaction problems";"5";20000;20000;2011
"Lethbridge, Timothy TC";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Evaluating and improving the Umple model-oriented programming language";"5";29000;29000;2011
"Li, Ming M";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Bioinformatics software tools and Kolmogorov complexity";"5";76000;76000;2011
"Lin, Guohui GH";"Computing Science";"Alberta";"RGPIN";"Algorithm design and analysis, web-database and web-server development in bioinformatics research driven by large volume data";"5";24000;24000;2011
"Locasto, Michael NE";"Computer Science";"Calgary";"RGPIN";"Supporting software security by measuring, coordinating, and enforcing software trustworthiness";"5";29000;29000;2011
"Lowe, David DG";"Computer Science";"British Columbia";"RGPIN";"Object category recognition with large training sets";"5";49000;49000;2011
"Lyons, Kelly KA";"Information, Faculty of";"Toronto";"RGPIN";"Systematic Integration of Web 2.0 and Web 3D Tools in Service Systems";"1";14000;14000;2011
"Ma, Bin B";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Bioinformatics tools for proteomics research";"5";49000;49000;2011
"Mackworth, Alan AK";"Computer Science";"British Columbia";"RGPIN";"Constraint-based agents";"5";24000;24000;2011
"Maheshwari, Anil A";"Computer Science, School of";"Carleton";"RGPIN";"Design, analysis and implementation of geometric and graph algorithms";"5";29000;29000;2011
"Mahmoud, Qusay QH";"Computing and Information Science, School of";"Guelph";"RGPIN";"NetDNA: A middleware for seamless integration of devices, networks, and applications";"5";20000;20000;2011
"Maibaum, Thomas TSE";"Computing and Software";"McMaster";"RGPIN";"Software architecture, model driven development and fault tolerance";"5";42000;42000;2011
"Makarenkov, Vladimir V";"Informatique";"Quebec a Montreal";"RGPIN";"Methods and software for the analysis and classification of evolutionary and biomedical data";"5";42000;42000;2011
"Makaroff, Dwight DJ";"Computer Science";"Saskatchewan";"RGPIN";"Performance and security in parallel and distributed systems";"5";14000;14000;2011
"Marchand, Mario M";"Informatique et de genie logiciel";"Laval";"RGPIN";"PAC-Bayes learning and Kernel methods";"5";29000;29000;2011
"Martin, Patrick TP";"Computing, School of";"Queen's";"RGPIN";"Self managing cloud data services (SMCDS)";"5";29000;29000;2011
"Matwin, Stanislaw SJ";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Research in machine learning and data privacy";"5";42000;42000;2011
"Mejri, Mohamed MM";"Informatique et de genie logiciel";"Laval";"RGPIN";"Renforcement formel et automatique de la securite informatique";"5";29000;29000;2011
"Mesbah, Ali A";"Electrical and Computer Engineering";"British Columbia";"RGPIN";"Web application testing as an automated service";"5";24000;24000;2011
"Mignotte, Max M";"Arts et des sciences, faculte des";"Montreal";"RGPIN";"Bayesian statistical fusion models based on constraints and multiple criteria in image processing and computer vision";"5";24000;24000;2011
"Miller, James J";"Electrical and Computer Engineering";"Alberta";"RGPIN";"Engineering internet-centric software systems";"5";33000;33000;2011
"Miller, Michael DM";"Computer Science";"Victoria";"RGPIN";"Synthesis and optimization of reversible and emerging technology circuits";"5";14000;14000;2011
"Moha, Naouel N";"Informatique";"Quebec a Montreal";"RGPIN";"Antipattern-based approach for service oriented design and quality improvement";"5";20000;20000;2011
"Mori, Gregory GP";"Computing Science";"Simon Fraser";"RGPIN";"Recognizing human figures and actions";"5";42000;42000;2011
"Moura, Lucia L";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Combinatorial and algorithmic aspects of covering arrays for software and network testing";"5";24000;24000;2011
"Muller, Hausi HA";"Computer Science";"Victoria";"RGPIN";"Design and evolution of highly adaptive software systems: Context, control and run-time validation";"5";33000;33000;2011
"Nascimento, Mario MA";"Computing Science";"Alberta";"RGPIN";"Exploring context in spatio-temporal data";"5";29000;29000;2011
"Neustaedter, Carman CG";"Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Supporting awareness and interaction through domestic media spaces";"5";20000;20000;2011
"Neville, Stephen SW";"Electrical and Computer Engineering";"Victoria";"RGPIN";"Component-level virtual machines: A paradigm for achieving controllability in cloud-deployed dynamic distributed systems";"5";14000;14000;2011
"Ngom, Alioune A";"Computer Science, School of";"Windsor";"RGPIN";"High-order/variable-order dynamic Bayesian networks and dynamic qualitative probabilistic networks --- new models of gene regulatory networks";"5";14000;14000;2011
"Nickerson, Bradford BG";"Computer Science, Faculty of";"New Brunswick";"RGPIN";"Spatial data structures";"5";20000;20000;2011
"Osgood, Nathaniel ND";"Computer Science";"Saskatchewan";"RGPIN";"Stocking Hygeia's toolbox: methodological innovation in support of computational epidemiology";"5";14000;14000;2011
"Pan, Jianping J";"Computer Science";"Victoria";"RGPIN";"Protocol design and performance evaluation for network science and engineering";"5";24000;24000;2011
"Paquet, Joey J";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Context-awareness and demand-driven evaluation in heterogeneous distributed systems";"5";20000;20000;2011
"Pei, Jian J";"Computing Science";"Simon Fraser";"RGPIN";"Towards context-aware data mining";"5";49000;49000;2011
"Peña Castillo, Lourdes MDL";"Computer Science";"Memorial Univ. of Nfld";"RGPIN";"Discovering gene regulatory networks through combination of diverse large-scale biological evidence";"5";14000;14000;2011
"Poole, David DL";"Computer Science";"British Columbia";"RGPIN";"Large scale reasoning under uncertainty";"5";29000;29000;2011
"Popowich, Frederick FP";"Computing Science";"Simon Fraser";"RGPIN";"Acceleration of real time natural language processing";"5";24000;24000;2011
"Pottinger, Rachel RA";"Computer Science";"British Columbia";"RGPIN";"Improving schema understandability for semantic integration";"5";24000;24000;2011
"Qiu, Ke K";"Computer Science";"Brock";"RGPIN";"Parallel computing on interconnection networks and for sequence analysis";"5";18000;18000;2011
"Quimper, Claude-Guy C-G";"Informatique et de genie logiciel";"Laval";"RGPIN";"Scheduling using constraint programming";"5";24000;24000;2011
"Rackoff, Charles CW";"Mathematical and Computational Sciences (Mississauga)";"Toronto";"RGPIN";"Topics in cryptography and computational complexity";"5";33000;33000;2011
"Robillard, Martin MP";"Computer Science, School of";"McGill";"RGPIN";"Automated support for framework documentation";"5";29000;29000;2011
"Ross, Brian BJ";"Computer Science";"Brock";"RGPIN";"Multi-objective grammar-guided genetic programming for bio-network modelling and evolutionary design";"5";14000;14000;2011
"Ruppert, Eric EO";"Computer Science and Engineering";"York";"RGPIN";"Algorithms and models for distributed systems";"5";24000;24000;2011
"Ruuth, Steven SJ";"Mathematics";"Simon Fraser";"RGPIN";"Algorithms for approximating continuum processes on surfaces";"5";33000;33000;2011
"Sack, Jorg-Rudiger JRW";"Computer Science, School of";"Carleton";"RGPIN";"Algorithms design for motion problems: theory & practice";"5";24000;24000;2011
"Sander, Jörg J";"Computing Science";"Alberta";"RGPIN";"Projected and semi-supervised clustering for high-dimensional data";"5";29000;29000;2011
"Scott, Philip PJ";"Mathematics and Statistics";"Ottawa";"RGPIN";"Polarized logics, geometry of interaction, and the dynamics of resource sensitive computation";"5";29000;29000;2011
"Shaw, Christopher CD";"Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Highly interactive visual analytics systems";"5";24000;24000;2011
"Singh, Karan K";"Computer Science";"Toronto";"RGPIN";"Sculpt and sketch interfaces for 3D modeling";"5";33000;33000;2011
"Skillicorn, David DB";"Computing, School of";"Queen's";"RGPIN";"Adversarial knowledge discovery";"5";29000;29000;2011
"Sodan, Angela ACC";"Computer Science, School of";"Windsor";"RGPIN";"Time- and space-adaptive parallel job sceduling for HPC servers, grids, and clouds";"5";24000;24000;2011
"Sokolova, Marina ML";"Medicine, Faculty of";"Ottawa";"RGPIN";"Learning health information from user-generated Web content";"5";14000;14000;2011
"Soltys-Kulinicz, Michael M";"Computing and Software";"McMaster";"RGPIN";"Proof complexity of matrix algebra";"5";24000;24000;2011
"Stege, Ulrike U";"Computer Science";"Victoria";"RGPIN";"Computational problems & tractable algorithms: Bridging the gap between problem definitions and solutions";"5";24000;24000;2011
"Stewart, Lorna LK";"Computing Science";"Alberta";"RGPIN";"Graph classes: Structure, algorithms, and complexity";"5";24000;24000;2011
"Stinson, Douglas DR";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Cryptography and cryptographic protocols";"5";49000;49000;2011
"Stumm, Michael M";"Electrical and Computer Engineering, Edward S. Rogers Sr. ";"Toronto";"RGPIN";"System software performance monitoring and optimization";"5";29000;29000;2011
"Szafron, Duane DA";"Computing Science";"Alberta";"RGPIN";"Using computer poker as a testbed for solving multiagent decision problems";"5";29000;29000;2011
"Taha, Abd-Elhamid AM";"Computing, School of";"Queen's";"RGPIN";"Opportunistic frameworks for radio resource management";"5";20000;20000;2011
"Talhi, Chamseddine C";"Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Security enforcement for resource-constrained systems";"5";14000;14000;2011
"Ternovska, Eugenia EA";"Computing Science";"Simon Fraser";"RGPIN";"Model expansion as a framework for representing and solving search and optimization problems";"5";29000;29000;2011
"Thomo, Alex AI";"Computer Science";"Victoria";"RGPIN";"Extracting intelligence from an interconnected world of data";"5";29000;29000;2011
"Thorpe, Julie JK";"Business and Information Technology, Faculty of";"Ontario Institute of Technology";"RGPIN";"Improving computer security through the analysis of human factors";"2";20000;20000;2011
"Thulasiraman, Parimala PS";"Computer Science";"Manitoba";"RGPIN";"Irregular computations on heterogeneous multi-core architectures";"5";14000;14000;2011
"Tsotsos, John JK";"Computer Science and Engineering";"York";"RGPIN";"Re-visiting Ullman's visual routines";"5";60300;60300;2011
"Turcotte, Marcel M";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Development of bioinformatics tools for RNomics research";"3";14000;14000;2011
"Tzerpos, Vassilios V";"Computer Science and Engineering";"York";"RGPIN";"Software pattern detection";"5";24000;24000;2011
"Urquhart, Alasdair AIF";"Computer Science";"Toronto";"RGPIN";"Logic and computational complexity";"5";29000;29000;2011
"Vaikuntanathan, Vinod V";"Mathematical and Computational Sciences (Mississauga)";"Toronto";"RGPIN";"cryptography in highly adversarial enviroments";"5";29000;29000;2011
"Vassilev, Tzvetalin TS";"Computer Science";"Nipissing";"RGPIN";"Optimization problems on geometric graphs";"5";14000;14000;2011
"Vassileva, Julita JI";"Computer Science";"Saskatchewan";"RGPIN";"Designing social infrastructures encouraging behaviour change and participation through personalized incentives";"5";59243;59243;2011
"Vidyasankar, Krishnamurthy K";"Computer Science";"Memorial Univ. of Nfld";"RGPIN";"Atomicity and consistency issues in service composition and transactional memory";"5";20000;20000;2011
"Von Bochmann, Gregor G";"Engineering, Faculty of";"Ottawa";"RGPIN";"Software development for distributed applications and scalable execution platforms";"5";29000;29000;2011
"Wachowiak, Mark MP";"Arts and Science, Faculty of";"Nipissing";"RGPIN";"High-performance global optimization and signal processing on multicore, GPU, and hybrid architectures";"5";14000;14000;2011
"Wakkary, Ron R";"Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Improving design strategies for customization and appropriation";"5";20000;20000;2011
"Wang, Hai H";"Finance, Information Systems, and Management Science";"Saint Mary's";"RGPIN";"Data summarization on probabilistic databases";"5";20000;20000;2011
"Weddell, Grant GE";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Integrating and querying information sources in the context of large-scale ontological knowledge";"5";24000;24000;2011
"Wei, Ruizhong R";"Computer Science";"Lakehead";"RGPIN";"Combinatorial methods in network security and communication codes";"5";24000;24000;2011
"Whitehead, Anthony AD";"Information Technology, School of";"Carleton";"RGPIN";"Personal space sensor networks for active human computer interaction";"5";14000;14000;2011
"Whitesides, Sue S";"Computer Science";"Victoria";"RGPIN";"Robotics and geometry";"5";33000;33000;2011
"Wigdor, Daniel DJ";"Computer and Mathematical Sciences";"Toronto";"RGPIN";"User interface feedforward and feedback supporting and enabling body tracking technologies";"5";29000;29000;2011
"Wismath, Stephen SK";"Mathematics and Computer Science";"Lethbridge";"RGPIN";"Algorithmic graph drawing";"5";14000;14000;2011
"Woodside, Murray CM";"Systems and Computer Engineering";"Carleton";"RGPIN";"Software performance engineering by models and measurement";"5";42000;42000;2011
"Woungang, Isaac I";"Computer Science";"Ryerson";"RGPIN";"Attacks and defense in mobile wireless ad hoc networks";"5";14000;14000;2011
"Wyvill, Brian BLM";"Computer Science";"Victoria";"RGPIN";"Interactive implicit modelling";"5";33000;33000;2011
"Xiang, Yang Y";"Computing and Information Science, School of";"Guelph";"RGPIN";"Graphical models: Inference, decision and acquisition";"5";14000;14000;2011
"Xiao, Lu LX";"Information and Media Studies, Faculty of";"Western Ontario";"RGPIN";"The value of visualizing shared rationales for identifying hidden profiles in virtual group decision-making";"5";14000;14000;2011
"Ye, Qiang Q";"Computer Science and Information Technology";"Prince Edward Island";"RGPIN";"QoS provisioning in heterogeneous networks: A perspective from the edge";"5";14000;14000;2011
"Young, James JE";"Computer Science";"Manitoba";"RGPIN";"Leveraging people's everyday skill sets for interaction with robots";"5";14000;14000;2011
"Zhang, Chang-Nian CN";"Computer Science";"Regina";"RGPIN";"Fault tolerant cryptography and advanced multilayer access control";"5";14000;14000;2011
"Zhang, Hong H";"Computing Science";"Alberta";"RGPIN";"Scalable appearance-based robot navigation";"5";24000;24000;2011
"Zouaq, Amal A";"Mathematics and Computer Science";"Royal Military College of Canada";"RGPIN";"A learning-by-reading framework for ontology learning";"5";14000;14000;2011
"Abdulrazak, Bessam BA";"Informatique";"Sherbrooke";"RGPIN";"Adaptable Smart Environments for Elderly People  [Environnement Intelligent Adaptable pour les Personnes Agées]";"5";22000;2012
"Alhajj (Elhajj), Reda RA";"Computer Science";"Calgary";"RGPIN";"Employing Data Mining and Machine Learning Techniques for Social Network Modeling and Analysis";"1";14000;2012
