"Name";"Deparment";"Institution";"Program";"Title";"Term";"amount"
"Ripeanu, M";"Electrical and Computer Engineering";"British Columbia";"RGPIN";"Reconsidering distributed storage system design to harness massively multi-core commodity hardware";"5";40000;2009
"Robillard, PN";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Studies of software process knowledge flow";"5";24000;2009
"Sahraoui, HA";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Addressing issues in software engineering automation using visualization and search-based methods";"5";35000;2009
"Shakshuki, ES";"Computer Science, Jodrey School of";"Acadia";"RGPIN";"Cooperative intelligent distributed systems for context aware and calendaring systems";"1";15000;2009
"Shi, W";"Business and Information Technology, Faculty of";"UOIT";"RGPIN";"Distributed computing with mobile agents in unsafe networks";"5";19000;2009
"Shirmohammadi, S";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Massively multiuser virtual environments and online gaming";"5";30000;2009
"Smucker, MD";"Management Sciences";"Waterloo";"RGPIN";"Utilizing interaction to improve information retrieval";"5";24000;2009
"Somayaji, AB";"Computer Science, School of";"Carleton";"RGPIN";"Securing software with automated functional diversity";"5";19000;2009
"Stroulia, E";"Computing Science";"Alberta";"RGPIN";"Systematic, managed evolution of service systems";"5";50000;2009
"Suryn, WL";"Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Software and system quality engineering: models and techniques for implementation in information systems";"1";15000;2009
"Szymanski, TH";"Electrical and Computer Engineering";"McMaster";"RGPIN";"Near-perfect quality of service in wired and wireless IP networks";"5";24000;2009
"Tadj, C";"Genie electrique";"Ecole de technologie superieure";"RGPIN";"Design of a pervasive self-managing computing system";"5";19000;2009
"Terry, MA";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Open source usability";"5";24000;2009
"Tripunitara, MV";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Realizing policy verification subsystems for access control systems";"5";29000;2009
"Truong, KN";"Computer Science";"Toronto";"RGPIN";"Open infrastructure for data sharing and interoperability between context-aware applications";"5";24000;2009
"Ural, H";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Formal methods for testing state-based systems";"5";35000;2009
"Vertegaal, RPH";"Computing, School of";"Queen's";"RGPIN";"Design and evaluation of organic user interfaces";"5";40000;2009
"Villemaire, R";"Informatique";"Quebec a Montreal";"RGPIN";"Logics, structures and verification";"5";19000;2009
"Wanderley, M";"Schulich School of Music";"McGill";"RGPIN";"Design and evaluation of novel interfaces for musical expression";"5";40000;2009
"Wang, C";"Engineering and Computer Science, Faculty of";"Concordia";"RGPIN";"Decentralized scheduling for multi-agent systems through mechanism design";"5";24000;2009
"Wang, K";"Computing Science";"Simon Fraser";"RGPIN";"Data privacy preservation at digital information age";"5";35000;2009
"Weber, JH";"Computer Science";"Victoria";"RGPIN";"Product-focussed security assurance of ultra-large scale systems";"5";30000;2009
"Witte, R";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Engineering of semantic software systems and applications of semantic technologies in solftware engineering";"1";15000;2009
"Woit, DM";"Computer Science";"Ryerson";"RGPIN";"Improving reliability quantification and magnitude through development process mutations for iteratively developed software";"5";19000;2009
"Wong, JWN";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Performance evaluation of distributed systems";"5";30000;2009
"Wong, K";"Computing Science";"Alberta";"RGPIN";"Methods and tools to understand, evolve and manage systems of systems";"5";19000;2009
"Woungang, I";"Math, Physics and Computer Science";"Ryerson";"RGPIN";"Attacks and defense in mobile wireless ad hoc networks";"1";15000;2009
"Ye, Q";"Computer Science and Information Technology";"Prince Edward Island";"RGPIN";"Multi-layer resilience for real-time applications in high-speed networks";"1";15000;2009
"Yu, ESK";"Information, Faculty of";"Toronto";"RGPIN";"Agent-oriented modelling";"5";40000;2009
"Yuan, L-Y";"Computing Science";"Alberta";"RGPIN";"Integration of XML data with relational database systems";"1";15000;2009
"Zulkernine, M";"Computing, School of";"Queen's";"RGPIN";"Methods and tools for intrusion-aware software systems";"5";35000;2009
"Allili, MS";"Informatique et d'ingenierie";"Quebec en Outaouais";"RGPIN";"Segmentation d'images et analyse de videos: Approches par combinaison de caracteristiques locales et globales et applications";"5";19000;2009
