"Name";"Institution";"Program";"Title";"Term";"amount"
"Qureshi, FZDepartmentScience, Faculty of";"UOIT";"RGPIN";"Virtual vision and smart camera networks";"5";19000
"Rappaport, DHDepartmentComputing, School of";"Queen's";"RGPIN";"Computational geometry and data analysis";"5";15000
"Reichardt, BWDepartmentComputer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Fault-tolerant quantum computing and quantum algorithms";"5";29000
"Rogan, PKDepartmentBiochemistry";"Western Ontario";"RGPIN";"Modeling mRNA splicing by exon definition in silico";"5";19000
"Roy, SZDepartmentInformatique et recherche operationnelle";"Montreal";"RGPIN";"Stereo and photometric reconstruction for pose and shape tracking and view interpolation";"5";19000
"Rueda, LGDepartmentComputer Science, School of";"Windsor";"RGPIN";"Efficient linear dimensionality reduction and optimal multi-dimensional clustering";"5";24000
"Ruskey, FDepartmentComputer Science";"Victoria";"RGPIN";"Efficient algorithms for sequencing, counting, manipulating and visualizating discrete structures";"5";30000
"Ruskey, FDepartmentComputer Science";"Victoria";"EQPEQ";"Computer for memory intensive computation over discrete structures";"1";8360
"Salvail, LDepartmentInformatique et recherche operationnelle";"Montreal";"RGPIN";"Two-party quantum cryptography";"5";24000
"Shatkay, HDepartmentComputing, School of";"Queen's";"RGPIN";"Translating data into knowledge: From biomedical sequences and text to disease prediction and prevention";"5";35000
"Silver, DLDepartmentComputer Science, Jodrey School of";"Acadia";"RGPIN";"Inductive transfer and machine life-long learning";"5";24000
"Solis-Oba, RDepartmentComputer Science";"Western Ontario";"RGPIN";"Approximation algorithms for packing and network problems";"5";24000
"Soutchanski, MEDepartmentComputer Science";"Ryerson";"RGPIN";"Modular and taxonomic representations for tractable reasoning about actions";"5";19000
"Stacey, DADepartmentComputing and Information Science";"Guelph";"RGPIN";"Semantic web framework for software system design, testing and maintenance for syndromic surveillance applications";"1";15000
"Stewart, JARDepartmentComputing, School of";"Queen's";"RGPIN";"Visualization and interfaces for computer-assisted surgery";"5";19000
"Sutton, RSDepartmentComputing Science";"Alberta";"RGPIN";"Reinforcement learning and artificial intelligence";"5";38000
"Swamy, CDepartmentCombinatorics and Optimization";"Waterloo";"RGPIN";"Algorithm design in game-theoretic environments and settings with uncertainty";"5";30000
"Tardos, GDepartmentComputing Science";"Simon Fraser";"RGPIN";"Complexity issues in geometric and combinatorial arrangements";"5";35000
"Therien, DDepartmentComputer Science, School of";"McGill";"RGPIN";"An algebraic approach to computational complexity";"5";35000
"Tory, MKDepartmentComputer Science";"Victoria";"RGPIN";"Empirical examination of design issues in multidimensional visualization";"5";35000
"Toussaint, GTDepartmentComputer Science, School of";"McGill";"RGPIN";"Computational geometry for polygonal reconfiguration, pattern analysis and recognition and music information retrieval";"5";30000
"Trummer, MRDepartmentMathematics";"Simon Fraser";"RGPIN";"Computational methods in medical imaging";"5";19000
"Tsin, YHDepartmentComputer Science, School of";"Windsor";"RGPIN";"Efficient algorithms for graph connectivity and related problems";"5";19000
"Tsotsos, JKDepartmentComputer Science and Engineering";"York";"RGPIN";"Active vision, visual attention, and their application";"2";40000
"Turcotte, MDepartmentInformation Technology and Engineering, School of";"Ottawa";"EQPEQ";"Computer equipment for RNomics research";"1";14900
"Watrous, JHDepartmentComputer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Interaction and entanglement in quantum information and computation";"5";35000
"Yang, HDepartmentComputing Science";"Alberta";"RGPIN";"Static and dynamic image analysis and synthesis";"5";42000
"Zemel, RSDepartmentComputer Science";"Toronto";"RGPIN";"Machine learning for image understanding and user modelling";"5";50000
"Ziou, DDepartmentInformatique";"Sherbrooke";"RGPIN";"Gestion par le contenu de larges collections de documents visuels";"5";40000
