"Name";"Department";"Institution";"Program";"Title";"Term";"amount"
"Farzan, AF";"Computer Science";"Toronto";"RGPIN";"Testing and verification of concurrent software";"5";29000
"Fels, SS";"Electrical and Computer Engineering";"British Columbia";"RGPIN";"Future digital lifestyle research";"5";35000
"Felty, P";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Machine-assisted theorem proving: Proof techniques and applications";"5";35000
"Fraczak, W";"Informatique et d'ingenierie";"Quebec en Outaouais";"RGPIN";"Multi-tape automata and formal verification";"5";18000
"Franks, RG";"Systems and Computer Engineering";"Carleton";"RGPIN";"Reverse engineering performance models from trance data";"1";15000
"Frappier, M";"Informatique";"Sherbrooke";"RGPIN";"Formal reuse and validation of information system specifications/Reutilisation et validation formelle des specifications de systemes d'information";"5";38500
"Gagne, C";"Genie electrique et genie informatique";"Laval";"RGPIN";"Enabling autonomic computing with computational intelligence";"5";19000
"Gburzynski, P";"Computing Science";"Alberta";"RGPIN";"Practical low-cost wireless ad-hoc networking for sensing and monitoring";"1";15000
"Ghorbani, AA";"Computer Science, Faculty of";"New Brunswick";"RGPIN";"Intelligent network survivability tools";"5";30000
"Godfrey, P";"Computer Science and Engineering";"York";"RGPIN";"Database support for 4D virtual and mirror spaces";"5";24000
"Hafid, AH";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Resources management in vehicular networks";"5";24000
"Harms, JJ";"Computing Science";"Alberta";"RGPIN";"Resource management in wireless networks";"5";30000
"Hassan, AE";"Computing, School of";"Queen's";"RGPIN";"Leveraging historical software repositories to understand and support software maintenance and change activities";"5";35000
"Hassanein, HS";"Computing, School of";"Queen's";"RGPIN";"Seamless service delivery in next generation wireless networks";"5";60000
"Hengartner, UB";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Security and privacy for urban sensing";"5";19000
"Hussain, S";"Computer Science, Jodrey School of";"Acadia";"RGPIN";"Energy efficient, secure, and trusted middleware for wireless sensor networks";"1";15000
"Kelly, DF";"Electrical and Computer Engineering";"Royal Military College of Canada";"RGPIN";"Identifying useful software engineering practices for scientists";"5";19000
"Khedri, R";"Computing and Software";"McMaster";"RGPIN";"Multi-view assessment of security requirements for software product lines";"5";19000
"Kim, HM";"Schulich School of Business";"York";"RGPIN";"Using ontologies and social network analysis for web 2.0 enabled knowledge sharing";"5";19000
"Kinshuk, K";"Computing & Information Systems, School of";"Athabasca";"RGPIN";"Adaptive approaches for mobile learning technologies";"5";19000
"Lakshmanan, LVS";"Computer Science";"British Columbia";"EQPEQ";"Data management and mining lab at UBC";"1";89734
"Lakshmanan, LVS";"Computer Science";"British Columbia";"RGPIN";"Query processing by, for, and of the masses: putting the user in the loop";"5";60000
"Lhotak, O";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Practical static analysis of object-oriented programs";"5";50000
"Li, Z";"Computer Science";"Calgary";"RGPIN";"Internet multicast routing: algorithms, mechanisms and systems";"5";30000
"Liscano, R";"Engineering and Applied Science, Faculty of";"UOIT";"RGPIN";"Autonomic computing in heterogeneous sensor networks";"5";19000
"Liu, J";"Computing Science";"Simon Fraser";"RGPIN";"Toward adaptive, scalable and socialized multimedia content distribution over ubiquitous networks";"5";50000
"Lu, PCP";"Computing Science";"Alberta";"RGPIN";"Scalable and efficient software systems on virtual machine platforms";"5";19000
"Lung, C";"Systems and Computer Engineering";"Carleton";"RGPIN";"Using model-driven engineering to support autonomic computing";"5";30000
"MacGregor, MH";"Computing Science";"Alberta";"RGPIN";"Algorithms and architectures for data networking";"1";15000
"MacKenzie, IS";"Computer Science and Engineering";"York";"RGPIN";"Motor and perceptual optimization of user interfaces";"5";30000
"McGregor, C";"Business and Information Technology, Faculty of";"UOIT";"RGPIN";"Distributed temporal multi-dimensional data mining";"1";15000
"Ng, RT";"Computer Science";"British Columbia";"RGPIN";"A data mining framework for genomics biomarker and signature identification";"5";70000
"Ozsu, MT";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Studies in advanced distributed data management";"5";70000
"Paquet, J";"Computer Science and Software Engineering";"Concordia";"RGPIN";"GIPSY - General intensional programing system";"1";15000
"Parsons, BJ";"Business Administration, Faculty of";"Memorial Univ. of Nfld";"RGPIN";"Information integration using principles of classification";"1";15000
"Peyton, LH";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"An engineering and management framework for trusted information processes";"5";24000
"Poehlman, WFS";"Computing and Software";"McMaster";"RGPIN";"Novel smart software technologies for medical informatics";"1";15000
"Radhakrishnan, T";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Human centered computing and medical data visualization";"5";28500
"Riecke, BE";"Applied Sciences, Faculty of";"Simon Fraser";"RGPIN";"Enabling effective human spatial orientation and behaviour in virtual environments";"5";35000
"Riecke, BE";"Applied Sciences, Faculty of";"Simon Fraser";"EQPEQ";"Multi-modal virtual reality laboratory infrastructure";"1";150000
"Ripeanu, M";"Electrical and Computer Engineering";"British Columbia";"RGPIN";"Reconsidering distributed storage system design to harness massively multi-core commodity hardware";"5";40000
"Robillard, PN";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Studies of software process knowledge flow";"5";24000
"Sahraoui, HA";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Addressing issues in software engineering automation using visualization and search-based methods";"5";35000
"Shakshuki, ES";"Computer Science, Jodrey School of";"Acadia";"RGPIN";"Cooperative intelligent distributed systems for context aware and calendaring systems";"1";15000
"Shi, W";"Business and Information Technology, Faculty of";"UOIT";"RGPIN";"Distributed computing with mobile agents in unsafe networks";"5";19000
"Shirmohammadi, S";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Massively multiuser virtual environments and online gaming";"5";30000
"Smucker, MD";"Management Sciences";"Waterloo";"RGPIN";"Utilizing interaction to improve information retrieval";"5";24000
"Somayaji, AB";"Computer Science, School of";"Carleton";"RGPIN";"Securing software with automated functional diversity";"5";19000
"Stroulia, E";"Computing Science";"Alberta";"RGPIN";"Systematic, managed evolution of service systems";"5";50000
"Suryn, WL";"Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Software and system quality engineering: models and techniques for implementation in information systems";"1";15000
"Szymanski, TH";"Electrical and Computer Engineering";"McMaster";"RGPIN";"Near-perfect quality of service in wired and wireless IP networks";"5";24000
"Tadj, C";"Genie electrique";"Ecole de technologie superieure";"RGPIN";"Design of a pervasive self-managing computing system";"5";19000
"Terry, MA";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Open source usability";"5";24000
"Tripunitara, MV";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Realizing policy verification subsystems for access control systems";"5";29000
"Truong, KN";"Computer Science";"Toronto";"RGPIN";"Open infrastructure for data sharing and interoperability between context-aware applications";"5";24000
"Ural, H";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Formal methods for testing state-based systems";"5";35000
"Vertegaal, RPH";"Computing, School of";"Queen's";"RGPIN";"Design and evaluation of organic user interfaces";"5";40000
"Villemaire, R";"Informatique";"Quebec a Montreal";"RGPIN";"Logics, structures and verification";"5";19000
"Wanderley, M";"Schulich School of Music";"McGill";"EQPEQ";"6 DOF General-purpose force-feedback devices for simulation of complex musical interactions";"1";73790
"Wanderley, M";"Schulich School of Music";"McGill";"RGPIN";"Design and evaluation of novel interfaces for musical expression";"5";40000
"Wang, C";"Engineering and Computer Science, Faculty of";"Concordia";"RGPIN";"Decentralized scheduling for multi-agent systems through mechanism design";"5";24000
"Wang, K";"Computing Science";"Simon Fraser";"RGPIN";"Data privacy preservation at digital information age";"5";35000
"Weber, JH";"Computer Science";"Victoria";"RGPIN";"Product-focussed security assurance of ultra-large scale systems";"5";30000
"Witte, R";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Engineering of semantic software systems and applications of semantic technologies in solftware engineering";"1";15000
"Woit, DM";"Computer Science";"Ryerson";"RGPIN";"Improving reliability quantification and magnitude through development process mutations for iteratively developed software";"5";19000
"Wong, JWN";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Performance evaluation of distributed systems";"5";30000
"Wong, K";"Computing Science";"Alberta";"RGPIN";"Methods and tools to understand, evolve and manage systems of systems";"5";19000
"Woungang, I";"Math, Physics and Computer Science";"Ryerson";"RGPIN";"Attacks and defense in mobile wireless ad hoc networks";"1";15000
"Ye, Q";"Computer Science and Information Technology";"Prince Edward Island";"RGPIN";"Multi-layer resilience for real-time applications in high-speed networks";"1";15000
"Yu, ESK";"Information, Faculty of";"Toronto";"RGPIN";"Agent-oriented modelling";"5";40000
"Yuan, L-Y";"Computing Science";"Alberta";"RGPIN";"Integration of XML data with relational database systems";"1";15000
"Zulkernine, M";"Computing, School of";"Queen's";"RGPIN";"Methods and tools for intrusion-aware software systems";"5";35000
"Abolmaesumi, P";"Computing, School of";"Queen's";"EQPEQ";"Ultrasound system with high frame rate and dynamic focus for prostate cancer diagnosis and intervention";"1";61124
"Allili, MS";"Informatique et d'ingenierie";"Quebec en Outaouais";"RGPIN";"Segmentation d'images et analyse de videos: Approches par combinaison de caracteristiques locales et globales et applications";"5";19000
"Allison, RS";"Computer Science and Engineering";"York";"EQPEQ";"Stereoscopic gaze contigent display";"1";51350
"Anderson, JE";"Computer Science";"Manitoba";"RGPIN";"Flexible team formation and task allocation for multi-robot systems in complex domains";"5";19000
"Ansermino, MJ";"Medicine, Faculty of";"British Columbia";"RGPIN";"An integrated expert system for physiological monitoring";"1";15000
"Arya, A";"Information Technology, School of";"Carleton";"RGPIN";"Real-time intelligent generation of human behaviours for interactive virtual environments";"5";19000
"Asudeh, A";"Cognitive Science, Institute of";"Carleton";"RGPIN";"Constraint-based syntax and semantics";"5";19000
"Atkins, MS";"Computing Science";"Simon Fraser";"EQPEQ";"Eyegaze studies for medical applications";"1";61079
"Avis, DM";"Computer Science, School of";"McGill";"RGPIN";"Polyhedral computation and quantum information";"5";35000
"Ben-David, S";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Theoretical analysis of emerging machine learning paradigms";"5";40000
"Bengio, Y";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Learning deep architectures for AI";"5";70000
"Bergeron, A";"Informatique";"Quebec a Montreal";"RGPIN";"Algorithms in comparative genomics, transcriptome assembly, and metagenomics";"5";24000
"Bergler, S";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Composing meaning";"5";24000
"Bose, PK";"Computer Science, School of";"Carleton";"RGPIN";"Geometric computing";"5";40000
"Bouchard, B";"Informatique-mathematique";"Quebec a Chicoutimi";"RGPIN";"Un modele hybride de reconnaissance d'activites d'un patient d'Alzheimer dans un habitat intelligent base sur la logique possibiliste";"5";19000
"Brewster, RC";"Mathematics and Statistics";"Thompson Rivers";"RGPIN";"Computational complexity of combinatorial and graph theoretic problems";"5";19000
"Brooks, S";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Rendering and presentation of spatial data";"5";24000
"Bulitko, V";"Computing Science";"Alberta";"RGPIN";"Real-time Heuristic search and player modeling";"5";35000
"Butler, G";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Knowledge-based bioinformatics";"5";24000
"Cameron, KB";"Mathematics";"Wilfrid Laurier";"RGPIN";"Graph algorithms";"5";15000
"Cheng, L-O";"Computing Science";"Alberta";"RGPIN";"Perceptually enhanced graphics and multimedia";"5";15000
"Cheriet, M";"Genie de la production automatisee";"Ecole de technologie superieure";"RGPIN";"Digital access and transcription of historical and complex document images";"5";30000
"Cheriyan, J";"Combinatorics and Optimization";"Waterloo";"RGPIN";"Approximation algorithms for NP-hard problems in network design";"5";30000
"Chiu, DKY";"Computing and Information Science";"Guelph";"RGPIN";"Pattern-discovery and related algorithms";"5";19000
"Chvatal, V";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Branching rules and resolution search in combinatorial optimization";"5";30000
"Crepeau, C";"Computer Science, School of";"McGill";"RGPIN";"Post-quantum and quantum cryptography";"5";35000
"Davies, JD";"Cognitive Science, Institute of";"Carleton";"RGPIN";"Visuospatial scene generation";"5";19000
"Dudek, GL";"Computer Science, School of";"McGill";"EQPEQ";"6 degree-of-freedom observation and control";"1";85368
"Dueck, GW";"Computer Science, Faculty of";"New Brunswick";"RGPIN";"Synthesis of reversible logic functions";"5";19000
"Duntsch, IV";"Computer Science";"Brock";"RGPIN";"Algebraic and logical methods for data analysis";"1";15000
"Dussault, JP";"Informatique";"Sherbrooke";"RGPIN";"Solution numerique de problemes d'equilibre";"5";19000
"Eagleson, RA";"Electrical and Computer Engineering";"Western Ontario";"RGPIN";"Surgical telerobotics visualization and performance evaluation";"5";19000
"Ergun, AF";"Computing Science";"Simon Fraser";"RGPIN";"Algorithms and lower bounds for sublinear processing of long sequences and large data";"5";30000
"Fiala, M";"Computer Science";"Ryerson";"EQPEQ";"Augmented reality helmet";"1";24999
"Fiala, M";"Computer Science";"Ryerson";"RGPIN";"Development of computer vision based localization and mapping for robotics and augmented reality";"5";15000
"Fiume, EL";"Computer Science";"Toronto";"RGPIN";"Scale-sensitive representations for realistic computer graphics";"5";50000
"Frasson, C";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Emotionally based intelligent tutoring systems";"5";24000
"Frost, RA";"Computer Science, School of";"Windsor";"RGPIN";"Theory/tools to support the creation and deployment of speech applications";"1";15000
"Funt, BV";"Computing Science";"Simon Fraser";"RGPIN";"Computational colour vision";"5";40000
"Gagnon, L";"Recherche et Developpement";"Centre de recherche info de Montreal";"RGPIN";"Content-based video summarization system";"1";15000
"Gao, Y";"Okanagan - Psychology & Computer Science";"British Columbia";"RGPIN";"Algorithms and complexity of hard problems: bridging the gap between theory and practice";"5";19000
"Gaur, D";"Mathematics and Computer Science";"Lethbridge";"RGPIN";"Linear programming based approximation algorithms for optimization problems";"5";19000
"Ghodsi Boushehri, A";"Statistics and Actuarial Science";"Waterloo";"RGPIN";"Dimensionality reduction: methodology and applications";"5";19000
"Goebel, RG";"Computing Science";"Alberta";"RGPIN";"Aspects of hypothesis space management";"5";30000
"Gondra, I";"Mathematics, Statistics and Computing Sciences";"St. Francis Xavier";"RGPIN";"Machine learning methods for strong image segmentation";"5";19000
"Gruninger, MJ";"Mechanical and Industrial Engineering";"Toronto";"RGPIN";"Ontologies for manufacturing standards";"5";19000
"Hamilton, HJ";"Computer Science";"Regina";"RGPIN";"Interestingness measures analysis, expectation-based data mining and animated plans";"5";40000
"Harvey, NJA";"Combinatorics and Optimization";"Waterloo";"RGPIN";"Cominatorial optimization and communication networks";"5";29000
"Hell, PT";"Computing Science";"Simon Fraser";"RGPIN";"Complexity of partition problems";"5";60000
"Hirst, GJ";"Computer Science";"Toronto";"RGPIN";"Nuances of meaning, paraphrase, and argument identification in applications of natural language processing";"5";50000
"Hossain, S";"Mathematics and Computer Science";"Lethbridge";"RGPIN";"Computing with sparse and structured matrices: mathematical derivatives and beyond";"5";19000
"Houghten, SK";"Computer Science";"Brock";"RGPIN";"Computational techniques for combinatorial searches relating to coding theory and bioinformatics";"5";15000
"Jacob, CJ";"Computer Science";"Calgary";"RGPIN";"From virtuality to reality and back: Emergent design ecologies to explore bio-inspired contructions of virtual worlds and their physical counterparts";"5";19000
"Japkowicz, N";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"A visualization framework for machine learning evaluation";"5";24000
"Jedwab, J";"Mathematics";"Simon Fraser";"RGPIN";"Aperiodic autocorrelation properties of sequences and arrays.";"5";30000
"Joslin, CJJ";"Information Technology, School of";"Carleton";"RGPIN";"Adaptation methods for scalable graphics and animation on constrained devices";"1";15000
"Keil, JM";"Computer Science";"Saskatchewan";"RGPIN";"Algorithmic approaches to hard geometric and graph theoretic problems";"5";19000
"Kirkpatrick, DG";"Computer Science";"British Columbia";"RGPIN";"Computational complexity of geometric and combinatorial problems";"5";50000
"Kobti, Z";"Computer Science, School of";"Windsor";"RGPIN";"Evolutionary learning in complex social system";"5";19000
"Kry, PG";"Computer Science, School of";"McGill";"EQPEQ";"A sensor wall for capture and animation of human climbing strategies";"1";54507
"Lamontagne, L";"Informatique et de genie logiciel";"Laval";"RGPIN";"Case-based reasoning for making decisions in dynamic game environments";"5";19000
"Lapalme, G";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Natural language processing in the semantic web";"5";35000
"Lee, WS";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Interactive fluid simulation and visualization";"5";30000
"Li, Y";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Optimization and finance";"5";19000
"Liao, SX";"Applied Computer Science and Administrative Studies";"Winnipeg";"RGPIN";"Image analysis with moment descriptors";"5";15000
"Lilien, RH";"Computer Science";"Toronto";"RGPIN";"Novel Algorithms to expedite experimental protein structure determination";"5";24000
"Lilien, RH";"Computer Science";"Toronto";"EQPEQ";"High performance computing for computational Biology";"1";81011
"Mann, S";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Design intent in surface modeling";"5";30000
"Molloy, MSO";"Computer Science";"Toronto";"RGPIN";"Probabilistic graph theory and theoretical computer science";"5";50000
"Monagan, MB";"Mathematics";"Simon Fraser";"RGPIN";"Algorithms for multivariate polynomials";"5";24000
"Moulin, B";"Informatique et de genie logiciel";"Laval";"RGPIN";"Holonic multi-agent geo-simulation for decision support";"5";40000
"Myrvold, WJ";"Computer Science";"Victoria";"RGPIN";"Finding torus obstructions/graph theory and algorithms for chemistry";"5";30000
"Nedialkov, NS";"Computing and Software";"McMaster";"RGPIN";"Numerical algorithms and software for high-index differential-algebraic equations";"5";15000
"Nishimura, N";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Tractability in structured problems";"5";30000
"Osgood, ND";"Computer Science";"Saskatchewan";"RGPIN";"Hygeia's toolbox: computation and mathematics in support of public health decision making and insight";"1";15000
"Pal, CJ";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Large scare semi-supervised pattern recognition and data mining from images and text";"5";30000
"Perkins, TJ";"Computer Science, School of";"McGill";"RGPIN";"Systems biology and biological information processing";"5";24000
"Peters, JF";"Electrical and Computer Engineering";"Manitoba";"RGPIN";"Discovering affinities between perceptual granules: Foundations and applications";"5";24000
"Pizzi, NJ";"Computer Science";"Manitoba";"RGPIN";"Classification methodology for mitigating the effects of unreliable class assignments in high dimensional biomedical data";"1";15000
"Qiao, S";"Computing and Software";"McMaster";"RGPIN";"Integer least squares and sphere decoding";"5";19000
"Qureshi, FZ";"Science, Faculty of";"UOIT";"RGPIN";"Virtual vision and smart camera networks";"5";19000
"Rappaport, DH";"Computing, School of";"Queen's";"RGPIN";"Computational geometry and data analysis";"5";15000
"Reichardt, BW";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Fault-tolerant quantum computing and quantum algorithms";"5";29000
"Rogan, PK";"Biochemistry";"Western Ontario";"RGPIN";"Modeling mRNA splicing by exon definition in silico";"5";19000
"Roy, SZ";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Stereo and photometric reconstruction for pose and shape tracking and view interpolation";"5";19000
"Rueda, LG";"Computer Science, School of";"Windsor";"RGPIN";"Efficient linear dimensionality reduction and optimal multi-dimensional clustering";"5";24000
"Ruskey, F";"Computer Science";"Victoria";"RGPIN";"Efficient algorithms for sequencing, counting, manipulating and visualizating discrete structures";"5";30000
"Ruskey, F";"Computer Science";"Victoria";"EQPEQ";"Computer for memory intensive computation over discrete structures";"1";8360
"Salvail, L";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Two-party quantum cryptography";"5";24000
"Shatkay, H";"Computing, School of";"Queen's";"RGPIN";"Translating data into knowledge: From biomedical sequences and text to disease prediction and prevention";"5";35000
"Silver, DL";"Computer Science, Jodrey School of";"Acadia";"RGPIN";"Inductive transfer and machine life-long learning";"5";24000
"Solis-Oba, R";"Computer Science";"Western Ontario";"RGPIN";"Approximation algorithms for packing and network problems";"5";24000
"Soutchanski, ME";"Computer Science";"Ryerson";"RGPIN";"Modular and taxonomic representations for tractable reasoning about actions";"5";19000
"Stacey, DA";"Computing and Information Science";"Guelph";"RGPIN";"Semantic web framework for software system design, testing and maintenance for syndromic surveillance applications";"1";15000
"Stewart, JAR";"Computing, School of";"Queen's";"RGPIN";"Visualization and interfaces for computer-assisted surgery";"5";19000
"Sutton, RS";"Computing Science";"Alberta";"RGPIN";"Reinforcement learning and artificial intelligence";"5";38000
"Swamy, C";"Combinatorics and Optimization";"Waterloo";"RGPIN";"Algorithm design in game-theoretic environments and settings with uncertainty";"5";30000
"Tardos, G";"Computing Science";"Simon Fraser";"RGPIN";"Complexity issues in geometric and combinatorial arrangements";"5";35000
"Therien, D";"Computer Science, School of";"McGill";"RGPIN";"An algebraic approach to computational complexity";"5";35000
"Tory, MK";"Computer Science";"Victoria";"RGPIN";"Empirical examination of design issues in multidimensional visualization";"5";35000
"Toussaint, GT";"Computer Science, School of";"McGill";"RGPIN";"Computational geometry for polygonal reconfiguration, pattern analysis and recognition and music information retrieval";"5";30000
"Trummer, MR";"Mathematics";"Simon Fraser";"RGPIN";"Computational methods in medical imaging";"5";19000
"Tsin, YH";"Computer Science, School of";"Windsor";"RGPIN";"Efficient algorithms for graph connectivity and related problems";"5";19000
"Tsotsos, JK";"Computer Science and Engineering";"York";"RGPIN";"Active vision, visual attention, and their application";"2";40000
"Turcotte, M";"Information Technology and Engineering, School of";"Ottawa";"EQPEQ";"Computer equipment for RNomics research";"1";14900
"Watrous, JH";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Interaction and entanglement in quantum information and computation";"5";35000
"Yang, H";"Computing Science";"Alberta";"RGPIN";"Static and dynamic image analysis and synthesis";"5";42000
"Zemel, RS";"Computer Science";"Toronto";"RGPIN";"Machine learning for image understanding and user modelling";"5";50000
"Ziou, D";"Informatique";"Sherbrooke";"RGPIN";"Gestion par le contenu de larges collections de documents visuels";"5";40000
