"Name";"Department";"Institution";"Program";"Title";"Term";"amount";"a2"
"Ezeife, Christie CI";"Department Computer Science, School of";"Windsor";"RGPIN";"Mining informative patterns from the Web, object-oriented and multiple data sources";"5";20000;20000
"Feeley, Michael MJ";"Department Computer Science";"British Columbia";"RGPIN";"System support for distributed, reliable and personal computing";"5";20000;20000
"Ferrie, Frank FP";"Department Electrical and Computer Engineering";"McGill";"RGPIN";"Interpretation of visual models";"5";20000;20000
"Fevens, Thomas TG";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"Computational geometry and applications";"1";14000;14000
"Fisher, Brian BD";"Department Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Visual analytics models and systems";"1";14000;14000
"Fleet, David DJ";"Department Computer and Mathematical Sciences";"Toronto";"EQPEQ";"Data capture and processing for computer vision";"1";96673;96673
"Flocchini, Paola P";"Department Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Computational issues in systems of mobile entities";"5";33000;33000
"Galinier, Philippe P";"Department Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Metaheuristiques pour l'optimisation difficile";"5";20000;20000
"Ganti, Sudhakar SNM";"Department Computer Science";"Victoria";"RGPIN";"Adaptive traffic management for high-capacity network architectures with smart services";"5";14000;14000
"Gardoni, Mickaël M";"Department Genie de la production automatisee";"Ecole de technologie superieure";"RGPIN";"Methodes pour un système d'informations informelles dynamique";"5";14000;14000
"Gebali, Fayez F";"Department Electrical and Computer Engineering";"Victoria";"RGPIN";"Multicore processing: Structured algorithm parallelization techniques & optimized network-on-chip design to connect to cores";"5";33000;33000
"German, Daniel DM";"Department Computer Science";"Victoria";"RGPIN";"Source code licensing as an essential aspect of modern software development";"5";24000;24000
"Gherbi, Abdelouahed A";"Department Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Model-based engineering techniques for embedded and real-time software";"5";20000;20000
"Giguère, Philippe P";"Department Informatique et de genie logiciel";"Laval";"RGPIN";"Improving perception of unknown environments or objects for robotic systems";"5";24000;24000
"Girouard, Audrey A";"Department Computing, School of";"Queen's";"RGPIN";"Design and evaluation of new input and interaction techniques for flexible display surfaces";"5";20000;20000
"Giroux, Sylvain S";"Department Informatique";"Sherbrooke";"RGPIN";"Des strategies d'assistance cognitive personnalisees et sensibles au contexte pour les personnes ayant des deficits cognitifs";"5";29000;29000
"Glasgow, Janice JI";"Department Computing, School of";"Queen's";"RGPIN";"Intelligent systems for the assessment, diagnosis and treatment of stroke patients";"5";24000;24000
"Goswami, Dhrubajyoti DG";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"Advancement of parallel systems skeletons";"5";24000;24000
"Graham, Nicholas NTC";"Department Computing, School of";"Queen's";"EQPEQ";"Exergaming system for children with Cerebral Palsy";"1";34422;34422
"Grassmann, Winfried WK";"Department Computer Science";"Saskatchewan";"RGPIN";"Theory and application of Markov modelling";"5";24000;24000
"Green, Mark MW";"Department Science, Faculty of";"Ontario Institute of Technology";"RGPIN";"Interactive visualization of large scale scientific computations";"5";14000;14000
"Gupta, Arvind A";"Department Computer Science";"British Columbia";"RGPIN";"Combinatorial algorithms in bioinformatics";"5";24000;24000
"Hadley, Robert RF";"Department Computing Science";"Simon Fraser";"RGPIN";"Cognitive architecture, neural realism, and consciousness";"5";20000;20000
"Hadzilacos, Vassos V";"Department Computer Science";"Toronto";"RGPIN";"Synchronisation and fault tolerance in distributed computing";"5";29000;29000
"Halle, Sylvain S";"Department Informatique-mathematique";"Quebec a Chicoutimi";"RGPIN";"Specification, verification and enforcement of interface contracts with data";"5";20000;20000
"Hamel, Sylvie S";"Department Informatique et recherche operationnelle";"Montreal";"RGPIN";"Algorithmic and combinatorial studies inspired by problems of comparative genomics";"5";20000;20000
"Hancock, Mark MS";"Department Management Sciences";"Waterloo";"RGPIN";"Ubiquitous virtual tools: Providing ad-hoc multitouch interaction on nearby surfaces";"5";20000;20000
"Hassanein, Khaled KS";"Department Business, DeGroote School of";"McMaster";"RGPIN";"Interactive decision support and adaptive Web interfaces for enhancing the online experience of older adults";"1";14000;14000
"Hawkey, Kirstie KA";"Department Computer Science, Faculty of";"Dalhousie";"RGPIN";"Designing improved privacy and security interfaces";"5";20000;20000
"Hayward, Ryan RB";"Department Computing Science";"Alberta";"RGPIN";"Algorithmic discrete mathematics with applications";"5";24000;24000
"Hefeeda, Mohamed M";"Department Computing Science";"Simon Fraser";"RGPIN";"Mobile 3D multimedia streaming";"5";33000;33000
"Hertzmann, Aaron AP";"Department Computer Science";"Toronto";"RGPIN";"Modeling human locomotion control";"5";60000;60000
"Hinton, Geoffrey GE";"Department Computer Science";"Toronto";"EQPEQ";"Large scale machine learning using GPUs";"1";59951;59951
"Hoey, Jesse J";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Machine learning, dense sensing and decision theoretic planning for large-scale assistance systems";"5";29000;29000
"Hoffman, Daniel DM";"Department Computer Science";"Victoria";"RGPIN";"Automated software testing with context-free grammars and covering arrays";"5";20000;20000
"Holmes, Reid RT";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Understanding dynamic program behaviour";"5";24000;24000
"Holt, Richard RC";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Mining Computing Configurations";"5";29000;29000
"Hutchinson, Norman NC";"Department Computer Science";"British Columbia";"RGPIN";"The next generation of storage";"5";20000;20000
"Jackson, Kenneth KR";"Department Computer Science";"Toronto";"RGPIN";"Numerical methods and software for applications in science, engineering and finance";"5";33000;33000
"Jacobson Jr., Michael MJ";"Department Computer Science";"Calgary";"RGPIN";"Algorithms in number theory and cryptography";"5";33000;33000
"Jagersand, Martin UM";"Department Computing Science";"Alberta";"RGPIN";"Incremental modeling of geometry and appearance from video";"5";24000;24000
"Jeffrey, David DJ";"Department Applied Mathematics";"Western Ontario";"RGPIN";"Algorithms for computer algebra applied to industrial modelling";"5";33000;33000
"Jenkin, Michael MRM";"Department Computer Science and Engineering";"York";"RGPIN";"Perception for mobile agents";"5";29000;29000
"Kabanza, Froduald F";"Department Informatique";"Sherbrooke";"RGPIN";"Planning and execution of actions for agents in dynamic environments";"5";20000;20000
"Kapron, Bruce BM";"Department Computer Science";"Victoria";"RGPIN";"Foundational studies in privacy and security";"5";24000;24000
"Kemme, Bettina B";"Department Computer Science, School of";"McGill";"RGPIN";"Data management in the cloud";"5";29000;29000
"Khabbazian, Majid M";"Department Applied Computer Science and Administrative Studies";"Winnipeg";"RGPIN";"Developing distributed algorithms for the proximate internet";"5";20000;20000
"King, Valerie V";"Department Computer Science";"Victoria";"RGPIN";"Algorithms for large scale networks";"5";29000;29000
"Kotsireas, Ilias I";"Department Physics and Computer Science";"Wilfrid Laurier";"RGPIN";"Novel computational paradigms for combinatorial matrices";"5";14000;14000
"Kranakis, Evangelos E";"Department Computer Science, School of";"Carleton";"RGPIN";"Algorithmic methods in wireless network computing";"5";33000;33000
"Kunz, Manuela M";"Department Computing, School of";"Queen's";"RGPIN";"Algorithms and interfaces for improved image-guided surgery";"5";14000;14000
"Kutulakos, Kiriakos KN";"Department Computer Science";"Toronto";"RGPIN";"Foundations of computational photography and videography";"5";33000;33000
"Kwiatkowska, Bogumila BM";"Department Computing Science";"Thompson Rivers";"RGPIN";"A knowledge-based framework for the management of imprecision in data";"5";14000;14000
"Labiche, Yvan Y";"Department Systems and Computer Engineering";"Carleton";"RGPIN";"On integration testing object-oriented software systems";"5";33000;33000
"Langer, Michael IMS";"Department Computer Science, School of";"McGill";"RGPIN";"Human-assisted computer vision";"5";20000;20000
"Lank, Edward EH";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Facilitating pointing in graphical interfaces via kinematic analysis of user trajectories";"1";15000;15000
"Larose, Benoît B";"Department Mathematics and Statistics";"Concordia";"RGPIN";"Applications of algebra to the study of fine-grained computational complexity of constraint satisfaction problems";"5";20000;20000
"Lethbridge, Timothy TC";"Department Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Evaluating and improving the Umple model-oriented programming language";"5";29000;29000
"Li, Ming M";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Bioinformatics software tools and Kolmogorov complexity";"5";76000;76000
