%call_w.dat--------------------------------------
%call_w.dat, part of AZ_PROJ v1.1
% (C) Joseph Mack 1997,8
%
% label file to display the numbers of the call areas (0..9)
% This file puts the appropriate number in the center of each call area.
% Use with /draw_USA_call_areas (in az_ini.ps) ON.
%
% distributed under GPL, see COPYING, which accompanies the AZ_PROJ package
% This file needs AZ_PROJ v1.04 (at least)
%
% label: a string centered on the lat/lon point
% (cf annot, which is drawn above the lat/lon point, with a blob on the lat/lon point)
%
% To add a label at lat/lon (decimal degrees, not deg:min:sec) add a line like
%
%label:string(can include blanks):lat(real):long(real):font_size(real 1-10):string ignored by AZ_PROJ
%
%font_size is 1 (small) to 10 (large), null defaults to 1
%
label:0:40:-98:1:USA call area 0
label:1:44:-71:1:
label:2:43:-76:1:
%label:3:40.5:-78:1:
label:3:FN10am:1:location entered by gridsquare
label:4:33:-83:1:
label:5:32:-100:1:
label:6:35.5:-119.5:1:
label:7:40:-115:1:
label:8:40:-83:1:
label:9:40:-88:1:USA call area 9
%end of call_w labels
%--------------------------------------
%geographical borders of US call areas
%W6 border
    1  38.467  -82.617
    1  38.500  -82.667
    2  38.533  -82.700
    2  38.583  -82.833
    4  38.750  -82.883
    2  38.717  -83.033
    1  38.683  -83.050
    1  38.667  -83.117
    2  38.617  -83.150
    1  38.617  -83.267
    3  38.600  -83.300
    2  38.650  -83.367
    1  38.667  -83.467
    2  38.700  -83.500
    2  38.683  -83.600
    2  38.633  -83.650
    2  38.650  -83.767
    1  38.683  -83.783
    1  38.717  -83.833
    2  38.767  -83.867
    2  38.783  -83.950
    4  38.783  -84.083
    2  38.817  -84.200
    1  38.900  -84.233
    1  38.950  -84.283
    2  39.000  -84.300
    2  39.050  -84.400
    3  39.117  -84.450
    2  39.067  -84.600
    1  39.083  -84.650
    2  39.133  -84.733
    5  39.083  -84.833
 9066  37.533  -81.967 *****
    1  37.550  -81.983
    1  37.533  -82.033
    2  37.567  -82.133
    1  37.600  -82.133
    2  37.633  -82.183
    2  37.683  -82.283
    2  37.767  -82.317
    2  37.817  -82.400
    2  37.900  -82.417
    3  37.933  -82.483
    2  37.983  -82.467
    1  38.033  -82.533
    2  38.167  -82.633
    1  38.200  -82.600
    1  38.233  -82.600
    2  38.250  -82.567
    1  38.333  -82.567
    1  38.367  -82.600
    5  38.417  -82.583
%W9 - W0
 9053  36.967  -89.117 ***** MO - IL
    1  36.983  -89.133
    2  36.983  -89.200
    1  37.017  -89.217
    1  37.033  -89.250
    2  37.083  -89.267
    1  37.083  -89.300
    2  37.067  -89.317
    2  37.017  -89.267
    2  37.000  -89.283
    3  37.050  -89.383
    1  37.100  -89.383
    1  37.200  -89.467
    2  37.250  -89.467
    4  37.267  -89.517
    2  37.317  -89.517
    1  37.350  -89.450
    2  37.417  -89.433
    2  37.550  -89.533
    4  37.683  -89.533
    2  37.733  -89.667
    2  37.833  -89.733
    1  37.867  -89.817
    2  37.900  -89.850
    1  37.867  -89.917
    2  37.883  -89.950
    2  37.900  -89.967
    2  37.950  -89.950
    1  37.967  -90.017
    2  38.017  -90.117
    1  38.067  -90.150
    1  38.100  -90.233
    4  38.233  -90.367
    1  38.283  -90.383
    2  38.350  -90.383
    1  38.433  -90.317
    1  38.550  -90.250
    2  38.633  -90.183
    2  38.717  -90.200
    1  38.800  -90.133
    4  38.833  -90.133
    2  38.917  -90.267
    1  38.933  -90.333
    3  38.967  -90.433
    2  38.950  -90.483
    2  38.883  -90.550
    4  38.883  -90.617
    2  38.967  -90.700
    1  39.067  -90.717
    2  39.100  -90.700
    1  39.133  -90.733
    1  39.250  -90.750
    3  39.300  -90.783
    1  39.367  -90.883
    2  39.450  -91.033
    2  39.533  -91.100
    1  39.550  -91.150
    4  39.717  -91.383
    2  39.800  -91.400
    2  39.867  -91.450
    2  39.933  -91.433
    2  40.000  -91.483
    2  40.117  -91.517
    2  40.283  -91.500
    1  40.367  -91.467
    5  40.383  -91.433
 9050  40.383  -91.433 ***** IO - IL
    1  40.383  -91.383
    2  40.400  -91.367
    1  40.450  -91.383
    2  40.500  -91.367
    1  40.550  -91.417
    2  40.567  -91.417
    1  40.617  -91.317
    3  40.667  -91.150
    1  40.750  -91.100
    2  40.833  -91.083
    4  40.967  -90.950
    2  41.100  -90.967
    1  41.183  -91.067
    2  41.233  -91.100
    4  41.417  -91.033
    1  41.433  -91.000
    1  41.433  -90.867
    1  41.450  -90.817
    2  41.450  -90.683
    2  41.517  -90.567
    3  41.533  -90.450
    1  41.567  -90.400
    2  41.583  -90.350
    1  41.667  -90.333
    2  41.750  -90.300
    4  41.817  -90.200
    2  42.000  -90.133
    3  42.117  -90.167
    2  42.250  -90.400
    2  42.350  -90.433
    2  42.467  -90.633
    1  42.483  -90.650
    5  42.517  -90.633
 9051  46.583  -90.417 ***** WI - MI
    2  46.550  -90.400
    1  46.567  -90.333
    1  46.550  -90.333
    1  46.533  -90.317
    2  46.500  -90.217
    3  46.333  -90.117
    2  46.150  -89.117
    2  46.033  -88.833
    1  46.017  -88.783
    2  46.033  -88.717
    2  46.000  -88.650
    1  46.017  -88.600
    2  46.017  -88.517
    1  46.000  -88.500
    2  46.000  -88.367
    1  45.967  -88.333
    1  45.967  -88.183
    4  45.933  -88.117
    2  45.883  -88.083
    1  45.833  -88.117
    3  45.800  -88.117
    1  45.783  -88.050
    1  45.783  -88.000
    5  45.783  -88.000
 9151  45.767  -87.900 ***** WI - MI
    3  45.683  -87.800
    2  45.650  -87.833
    2  45.600  -87.783
    2  45.567  -87.833
    2  45.500  -87.800
    2  45.450  -87.867
    3  45.367  -87.883
    1  45.350  -87.867
    1  45.367  -87.750
    2  45.383  -87.683
    3  45.367  -87.650
    1  45.350  -87.650
    1  45.250  -87.717
    2  45.183  -87.733
    1  45.150  -87.683
    2  45.117  -87.667
    5  45.100  -87.600
 9048  43.500  -91.217 ***** WI - MN
    1  43.567  -91.250
    2  43.800  -91.267
    1  43.917  -91.350
    4  43.967  -91.400
    2  44.033  -91.517
    1  44.033  -91.600
    2  44.150  -91.800
    1  44.183  -91.850
    1  44.333  -91.933
    2  44.350  -91.983
    1  44.417  -92.100
    2  44.467  -92.250
    2  44.550  -92.367
    2  44.600  -92.567
    5  44.750  -92.817
    1  44.800  -92.783
    1  44.900  -92.783
    2  44.933  -92.750
    1  45.033  -92.767
    2  45.067  -92.800
    2  45.117  -92.750
    1  45.183  -92.767
    2  45.283  -92.767
    1  45.333  -92.700
    3  45.433  -92.667
    2  45.550  -92.750
