% maj_city.dat
% This file needs AZ_PROJ v1.1
% This is a subset of wrldcity.dat ...
% a list of ca 600 cities that I found somewhere.
% The original file had a date of 26 Feb 89
% I have no idea who holds the copyright.
% My thanks go to the original compiler of this data.
% My apologies for not knowing who you are
% or being able to give you your due credit.
% Joe NA3T, Dec 97
%
% Spelling mistakes corrected ... eg Auckland, Winnipeg
% Dar es Salaam, Dumont d'Urville, Arkhangelsk, Casablanca
% Lat/Long's re-checked using Times World Atlas
% sorted into alphabetical order
% Mark G4KGA, Sept 98
%
% data format for this file
% city:name:lat:lon:scaling factor for font size:comment
%
%%%city:Vancouver:49.22:-123.10:1:Comment ignored by AZ_PROJ
city:Victoria:48.42:-123.37:1:Comment ignored by AZ_PROJ
%%%city:Vienna:48.22:16.37:1:Comment ignored by AZ_PROJ
%%%city:Vladivostok:43.15:131.88:1:Comment ignored by AZ_PROJ
%%%city:Washington:38.92:-77.00:1:Comment ignored by AZ_PROJ
%%%city:Wellington:-41.28:174.78:1:Comment ignored by AZ_PROJ
%%%city:Winnipeg:49.88:-97.17:1:Comment ignored by AZ_PROJ
%%%city:Yakutsk:62.17:129.83:1:Comment ignored by AZ_PROJ
%%%city:Whitehorse:60.6831:-135.08:1:Comment ignored by AZ_PROJ
%%%city:Dumont d'Urville:-66.67:140.02:1:Comment ignored by AZ_PROJ
city:Saipan:15.20:145.72:1:Comment ignored by AZ_PROJ
city:Auckland:-36.92:174.78:1:Comment ignored by AZ_PROJ
city:Mumbai:18.93:72.85:1:Comment ignored by AZ_PROJ
%-------------------------city_maj.dat----------------------
